image,label
1.jpeg,0
10.jpeg,0
100.jpeg,9
11.jpeg,1
12.jpeg,1
13.jpeg,1
14.jpeg,1
15.jpeg,1
17.jpeg,1
18.jpeg,1
19.jpeg,1
2.jpeg,0
20.jpeg,1
21.jpeg,2
22.jpeg,2
23.jpeg,2
24.jpeg,2
25.jpeg,2
26.jpeg,2
27.jpeg,2
28.jpeg,2
29.jpeg,2
3.jpeg,0
30.jpeg,2
31.jpeg,2
32.jpeg,3
33.jpeg,3
34.jpeg,3
35.jpeg,3
36.jpeg,3
37.jpeg,3
38.jpeg,3
39.jpeg,3
4.jpeg,0
40.jpeg,3
41.jpeg,4
42.jpeg,4
43.jpeg,4
44.jpeg,4
45.jpeg,4
46.jpeg,4
47.jpeg,4
48.jpeg,4
49.jpeg,4
5.jpeg,0
50.jpeg,4
51.jpeg,5
52.jpeg,5
53.jpeg,5
54.jpeg,5
55.jpeg,5
56.jpeg,5
57.jpeg,5
58.jpeg,5
59.jpeg,5
6.jpeg,0
60.jpeg,5
61.jpeg,6
62.jpeg,6
63.jpeg,6
64.jpeg,6
65.jpeg,6
66.jpeg,6
67.jpeg,6
68.jpeg,6
69.jpeg,6
7.jpeg,0
70.jpeg,6
71.jpeg,7
72.jpeg,7
73.jpeg,7
74.jpeg,7
75.jpeg,7
76.jpeg,7
77.jpeg,7
78.jpeg,7
79.jpeg,7
8.jpeg,0
80.jpeg,7
81.jpeg,8
82.jpeg,8
83.jpeg,8
84.jpeg,8
85.jpeg,8
86.jpeg,8
87.jpeg,8
88.jpeg,8
89.jpeg,8
9.jpeg,0
90.jpeg,8
91.jpeg,8
92.jpeg,9
93.jpeg,9
94.jpeg,9
95.jpeg,9
96.jpeg,9
97.jpeg,9
98.jpeg,9
99.jpeg,9
