image,label
1.jpeg,0
10.jpeg,0
100.jpeg,3
101.jpeg,3
102.jpeg,4
103.jpeg,4
104.jpeg,4
105.jpeg,4
106.jpeg,4
107.jpeg,4
108.jpeg,4
109.jpeg,4
11.jpeg,0
110.jpeg,4
111.jpeg,4
112.jpeg,4
113.jpeg,4
114.jpeg,4
115.jpeg,4
116.jpeg,4
117.jpeg,4
118.jpeg,4
119.jpeg,4
12.jpeg,0
120.jpeg,4
121.jpeg,4
122.jpeg,4
123.jpeg,4
124.jpeg,4
125.jpeg,4
126.jpeg,4
127.jpeg,5
128.jpeg,5
129.jpeg,5
13.jpeg,0
130.jpeg,5
131.jpeg,5
132.jpeg,5
133.jpeg,5
134.jpeg,5
135.jpeg,5
136.jpeg,5
137.jpeg,5
138.jpeg,5
139.jpeg,5
14.jpeg,0
140.jpeg,5
141.jpeg,5
142.jpeg,5
143.jpeg,5
144.jpeg,5
145.jpeg,5
146.jpeg,5
147.jpeg,5
148.jpeg,5
149.jpeg,5
15.jpeg,0
150.jpeg,5
151.jpeg,5
152.jpeg,6
153.jpeg,6
154.jpeg,6
155.jpeg,6
156.jpeg,6
157.jpeg,6
158.jpeg,6
159.jpeg,6
16.jpeg,0
160.jpeg,6
161.jpeg,6
162.jpeg,6
163.jpeg,6
164.jpeg,6
165.jpeg,6
166.jpeg,6
167.jpeg,6
168.jpeg,6
169.jpeg,6
17.jpeg,0
170.jpeg,6
171.jpeg,6
172.jpeg,6
173.jpeg,6
174.jpeg,6
175.jpeg,6
176.jpeg,6
177.jpeg,7
178.jpeg,7
179.jpeg,7
18.jpeg,0
180.jpeg,7
181.jpeg,7
182.jpeg,7
183.jpeg,7
184.jpeg,7
185.jpeg,7
186.jpeg,7
187.jpeg,7
188.jpeg,7
189.jpeg,7
19.jpeg,0
190.jpeg,7
191.jpeg,7
192.jpeg,7
193.jpeg,7
194.jpeg,7
195.jpeg,7
196.jpeg,7
197.jpeg,7
198.jpeg,7
199.jpeg,7
2.jpeg,0
20.jpeg,0
200.jpeg,7
201.jpeg,7
202.jpeg,8
203.jpeg,8
204.jpeg,8
205.jpeg,8
206.jpeg,8
207.jpeg,8
208.jpeg,8
209.jpeg,8
21.jpeg,0
210.jpeg,8
211.jpeg,8
212.jpeg,8
213.jpeg,8
214.jpeg,8
215.jpeg,8
216.jpeg,8
217.jpeg,8
218.jpeg,8
219.jpeg,8
22.jpeg,0
220.jpeg,8
221.jpeg,8
222.jpeg,8
223.jpeg,8
224.jpeg,8
225.jpeg,8
226.jpeg,9
227.jpeg,9
228.jpeg,9
229.jpeg,9
23.jpeg,0
230.jpeg,9
231.jpeg,9
232.jpeg,9
233.jpeg,9
234.jpeg,9
235.jpeg,9
236.jpeg,9
237.jpeg,9
238.jpeg,9
239.jpeg,9
24.jpeg,0
240.jpeg,9
241.jpeg,9
242.jpeg,9
243.jpeg,9
244.jpeg,9
245.jpeg,9
246.jpeg,9
247.jpeg,9
248.jpeg,9
249.jpeg,9
25.jpeg,0
250.jpeg,9
26.jpeg,1
27.jpeg,1
28.jpeg,1
29.jpeg,1
3.jpeg,0
30.jpeg,1
31.jpeg,1
32.jpeg,1
33.jpeg,1
34.jpeg,1
35.jpeg,1
36.jpeg,1
37.jpeg,1
38.jpeg,1
39.jpeg,1
4.jpeg,0
40.jpeg,1
41.jpeg,1
42.jpeg,1
43.jpeg,1
44.jpeg,1
45.jpeg,1
46.jpeg,1
47.jpeg,1
48.jpeg,1
49.jpeg,1
5.jpeg,0
50.jpeg,1
51.jpeg,2
52.jpeg,2
53.jpeg,2
54.jpeg,2
55.jpeg,2
56.jpeg,2
57.jpeg,2
58.jpeg,2
59.jpeg,2
6.jpeg,0
60.jpeg,2
61.jpeg,2
62.jpeg,2
63.jpeg,2
64.jpeg,2
65.jpeg,2
66.jpeg,2
67.jpeg,2
68.jpeg,2
69.jpeg,2
7.jpeg,0
70.jpeg,2
71.jpeg,2
72.jpeg,2
73.jpeg,2
74.jpeg,2
75.jpeg,2
76.jpeg,3
77.jpeg,3
78.jpeg,3
79.jpeg,3
8.jpeg,0
80.jpeg,3
81.jpeg,3
82.jpeg,3
83.jpeg,3
84.jpeg,3
85.jpeg,3
86.jpeg,3
87.jpeg,3
88.jpeg,3
89.jpeg,3
9.jpeg,0
90.jpeg,3
91.jpeg,3
92.jpeg,3
93.jpeg,3
94.jpeg,3
95.jpeg,3
96.jpeg,3
97.jpeg,3
98.jpeg,3
99.jpeg,3
1_1.jpeg,0
10_1.jpeg,1
11_1.jpeg,2
12_1.jpeg,2
13_1.jpeg,2
14_1.jpeg,2
15_1.jpeg,2
16_1.jpeg,3
17_1.jpeg,3
18_1.jpeg,3
19_1.jpeg,3
2_1.jpeg,0
20_1.jpeg,3
21_1.jpeg,4
22_1.jpeg,4
23_1.jpeg,4
24_1.jpeg,4
25_1.jpeg,4
26_1.jpeg,5
27_1.jpeg,5
28_1.jpeg,5
29_1.jpeg,5
3_1.jpeg,0
30_1.jpeg,5
31_1.jpeg,6
32_1.jpeg,6
33_1.jpeg,6
34_1.jpeg,6
35_1.jpeg,6
36_1.jpeg,7
37_1.jpeg,7
38_1.jpeg,7
39_1.jpeg,7
4_1.jpeg,0
40_1.jpeg,7
41_1.jpeg,8
42_1.jpeg,8
43_1.jpeg,8
44_1.jpeg,8
45_1.jpeg,8
46_1.jpeg,9
47_1.jpeg,9
48_1.jpeg,9
49_1.jpeg,9
5_1.jpeg,0
50_1.jpeg,9
6_1.jpeg,1
7_1.jpeg,1
8_1.jpeg,1
9_1.jpeg,1
