image,label
ANNBE6007.jpeg,9
APHJE3213.jpeg,8
BBEQE4120.jpeg,6
BCCWE7126.jpeg,0
BCQJE6508.jpeg,6
BPOIE3751.jpeg,7
ESYQE0830.jpeg,1
FBUGE4980.jpeg,3
GCOTE4056.jpeg,0
GYQVE9802.jpeg,4
HVPOE5555.jpeg,4
IRMDE5040.jpeg,1
IYIJE9559.jpeg,9
KTUAE4473.jpeg,2
LNYOE7227.jpeg,2
MQEYE0965.jpeg,3
OFZOE2395.jpeg,5
OZPRE2841.jpeg,1
PJHNE2472.jpeg,5
QHTSE5763.jpeg,8
QNKGE6727.jpeg,7
RNBPE9046.jpeg,2
SCKWE5776.jpeg,4
SFYKE9290.jpeg,6
SKYDE0882.jpeg,3
UUNRE5296.jpeg,5
XAHJE2457.jpeg,8
XSYGE7096.jpeg,7
YCBQE7247.jpeg,9
