image,label
IMG_4435.jpeg,0
IMG_4436.jpeg,1
IMG_4437.jpeg,2
IMG_4438.jpeg,3
IMG_4439.jpeg,4
IMG_4440.jpeg,5
IMG_4441.jpeg,6
IMG_4442.jpeg,7
IMG_4443.jpeg,8
IMG_4444.jpeg,9
IMG_4445.jpeg,0
IMG_4446.jpeg,1
IMG_4447.jpeg,2
IMG_4448.jpeg,3
IMG_4449.jpeg,4
IMG_4450.jpeg,5
IMG_4452.jpeg,6
IMG_4453.jpeg,7
IMG_4454.jpeg,8
IMG_4455.jpeg,9
IMG_4457.jpeg,0
IMG_4458.jpeg,1
IMG_4459.jpeg,2
IMG_4460.jpeg,3
IMG_4461.jpeg,4
IMG_4462.jpeg,5
IMG_4463.jpeg,6
IMG_4464.jpeg,7
IMG_4465.jpeg,8
IMG_4466.jpeg,9
IMG_4467.jpeg,0
IMG_4468.jpeg,1
IMG_4469.jpeg,2
IMG_4471.jpeg,3
IMG_4472.jpeg,4
IMG_4473.jpeg,5
IMG_4474.jpeg,6
IMG_4475.jpeg,7
IMG_4476.jpeg,8
IMG_4477.jpeg,9
IMG_4478.jpeg,0
IMG_4479.jpeg,1
IMG_4480.jpeg,2
IMG_4482.jpeg,3
IMG_4483.jpeg,4
IMG_4484.jpeg,5
IMG_4485.jpeg,6
IMG_4486.jpeg,7
IMG_4487.jpeg,8
IMG_4488.jpeg,9
IMG_4489.jpeg,0
IMG_4490.jpeg,1
IMG_4492.jpeg,2
IMG_4493.jpeg,3
IMG_4494.jpeg,4
IMG_4495.jpeg,5
IMG_4496.jpeg,6
IMG_4497.jpeg,7
IMG_4498.jpeg,8
IMG_4499.jpeg,9
IMG_4500.jpeg,0
IMG_4501.jpeg,1
IMG_4502.jpeg,2
IMG_4503.jpeg,3
IMG_4504.jpeg,4
IMG_4507.jpeg,7
IMG_4516.jpeg,6
IMG_4521.jpeg,0
IMG_4522.jpeg,1
IMG_4523.jpeg,2
IMG_4524.jpeg,3
IMG_4525.jpeg,4
IMG_4526.jpeg,5
IMG_4527.jpeg,6
IMG_4528.jpeg,7
IMG_4529.jpeg,8
IMG_4530.jpeg,9
IMG_4531.jpeg,0
IMG_4532.jpeg,1
IMG_4533.jpeg,2
IMG_4538.jpeg,7
IMG_4539.jpeg,8
IMG_4540.jpeg,9
IMG_4541.jpeg,0
IMG_4542.jpeg,1
IMG_4543.jpeg,2
IMG_4544.jpeg,3
IMG_4545.jpeg,4
IMG_4546.jpeg,5
IMG_4547.jpeg,6
IMG_4548.jpeg,7
IMG_4549.jpeg,8
IMG_4550.jpeg,9
IMG_4551.jpeg,0
IMG_4552.jpeg,1
IMG_4553.jpeg,2
IMG_4554.jpeg,3
IMG_4555.jpeg,4
IMG_4556.jpeg,5
IMG_4557.jpeg,6
IMG_4558.jpeg,7
IMG_4559.jpeg,8
IMG_4560.jpeg,9
IMG_4561.jpeg,0
IMG_4562.jpeg,1
IMG_4563.jpeg,2
IMG_4564.jpeg,3
IMG_4566.jpeg,4
IMG_4567.jpeg,5
IMG_4568.jpeg,6
IMG_4569.jpeg,7
IMG_4570.jpeg,8
IMG_4571.jpeg,9
IMG_4572.jpeg,0
IMG_4573.jpeg,1
IMG_4574.jpeg,2
IMG_4575.jpeg,3
IMG_4576.jpeg,4
IMG_4577.jpeg,5
IMG_4578.jpeg,6
IMG_4579.jpeg,7
IMG_4580.jpeg,8
IMG_4581.jpeg,9
IMG_4582.jpeg,0
IMG_4583.jpeg,1
IMG_4584.jpeg,2
IMG_4586.jpeg,4
IMG_4587.jpeg,5
IMG_4589.jpeg,7
IMG_4590.jpeg,8
IMG_4591.jpeg,9
IMG_4592.jpeg,0
IMG_4593.jpeg,1
IMG_4595.jpeg,2
IMG_4596.jpeg,3
IMG_4597.jpeg,4
IMG_4598.jpeg,5
IMG_4599.jpeg,6
IMG_4600.jpeg,7
IMG_4601.jpeg,8
IMG_4602.jpeg,9
