image,label
IMG_4603.jpeg,0
IMG_4604.jpeg,1
IMG_4605.jpeg,2
IMG_4606.jpeg,3
IMG_4607.jpeg,4
IMG_4608.jpeg,5
IMG_4609.jpeg,6
IMG_4611.jpeg,7
IMG_4612.jpeg,8
IMG_4613.jpeg,9
IMG_4614.jpeg,0
IMG_4615.jpeg,1
IMG_4616.jpeg,2
IMG_4617.jpeg,3
IMG_4618.jpeg,4
IMG_4619.jpeg,5
IMG_4620.jpeg,6
IMG_4621.jpeg,7
IMG_4622.jpeg,8
IMG_4623.jpeg,9
IMG_4624.jpeg,0
IMG_4625.jpeg,1
IMG_4626.jpeg,2
IMG_4628.jpeg,3
IMG_4629.jpeg,4
IMG_4630.jpeg,5
IMG_4631.jpeg,6
IMG_4632.jpeg,7
IMG_4633.jpeg,8
IMG_4634.jpeg,9
IMG_4635.jpeg,0
IMG_4636.jpeg,1
IMG_4637.jpeg,2
IMG_4638.jpeg,3
IMG_4639.jpeg,4
IMG_4640.jpeg,5
IMG_4641.jpeg,6
IMG_4642.jpeg,7
IMG_4643.jpeg,8
IMG_4644.jpeg,9
IMG_4645.jpeg,0
IMG_4646.jpeg,1
IMG_4647.jpeg,2
IMG_4648.jpeg,3
IMG_4649.jpeg,4
IMG_4650.jpeg,5
IMG_4651.jpeg,6
IMG_4652.jpeg,7
IMG_4653.jpeg,8
IMG_4654.jpeg,9
IMG_4655.jpeg,0
IMG_4656.jpeg,1
IMG_4657.jpeg,2
IMG_4658.jpeg,3
IMG_4659.jpeg,4
IMG_4660.jpeg,5
IMG_4661.jpeg,6
IMG_4662.jpeg,7
IMG_4663.jpeg,8
IMG_4664.jpeg,9
IMG_4666.jpeg,0
IMG_4667.jpeg,1
IMG_4668.jpeg,2
IMG_4669.jpeg,3
IMG_4670.jpeg,4
IMG_4671.jpeg,5
IMG_4672.jpeg,6
IMG_4673.jpeg,7
IMG_4674.jpeg,8
IMG_4675.jpeg,9
IMG_4676.jpeg,0
IMG_4677.jpeg,1
IMG_4678.jpeg,2
IMG_4679.jpeg,3
IMG_4680.jpeg,4
IMG_4681.jpeg,5
IMG_4682.jpeg,6
IMG_4683.jpeg,7
IMG_4684.jpeg,8
IMG_4685.jpeg,9
IMG_4686.jpeg,0
IMG_4687.jpeg,1
IMG_4688.jpeg,2
IMG_4689.jpeg,3
IMG_4690.jpeg,4
IMG_4691.jpeg,5
IMG_4692.jpeg,6
IMG_4693.jpeg,7
IMG_4694.jpeg,8
IMG_4695.jpeg,9
IMG_4696.jpeg,0
IMG_4697.jpeg,1
IMG_4698.jpeg,2
IMG_4699.jpeg,3
IMG_4700.jpeg,4
IMG_4701.jpeg,5
IMG_4702.jpeg,6
IMG_4703.jpeg,7
IMG_4704.jpeg,8
IMG_4705.jpeg,9
IMG_4706.jpeg,0
IMG_4707.jpeg,1
IMG_4708.jpeg,2
IMG_4709.jpeg,3
IMG_4710.jpeg,4
IMG_4711.jpeg,5
IMG_4712.jpeg,6
IMG_4713.jpeg,7
IMG_4714.jpeg,8
IMG_4715.jpeg,9
IMG_4716.jpeg,0
IMG_4717.jpeg,1
IMG_4718.jpeg,2
IMG_4719.jpeg,3
IMG_4720.jpeg,4
IMG_4721.jpeg,5
IMG_4722.jpeg,6
IMG_4723.jpeg,7
IMG_4724.jpeg,8
IMG_4725.jpeg,9
IMG_4736.jpeg,0
IMG_4737.jpeg,1
IMG_4738.jpeg,2
IMG_4739.jpeg,3
IMG_4740.jpeg,4
IMG_4741.jpeg,5
IMG_4742.jpeg,6
IMG_4743.jpeg,7
IMG_4744.jpeg,8
IMG_4745.jpeg,9
IMG_4746.jpeg,0
IMG_4747.jpeg,1
IMG_4748.jpeg,2
IMG_4749.jpeg,3
IMG_4750.jpeg,4
IMG_4751.jpeg,5
IMG_4752.jpeg,6
IMG_4753.jpeg,7
IMG_4754.jpeg,8
IMG_4755.jpeg,9
IMG_4756.jpeg,0
IMG_4757.jpeg,1
IMG_4758.jpeg,2
IMG_4759.jpeg,3
IMG_4760.jpeg,4
IMG_4761.jpeg,5
IMG_4762.jpeg,6
IMG_4763.jpeg,7
IMG_4764.jpeg,8
IMG_4765.jpeg,9
IMG_4766.jpeg,0
IMG_4772.jpeg,1
IMG_4773.jpeg,2
IMG_4774.jpeg,3
IMG_4775.jpeg,4
IMG_4776.jpeg,5
IMG_4777.jpeg,6
IMG_4778.jpeg,7
IMG_4779.jpeg,8
IMG_4780.jpeg,9
