image,label
IMG_4781.jpeg,0
IMG_4782.jpeg,0
IMG_4783.jpeg,0
IMG_4784.jpeg,0
IMG_4785.jpeg,0
IMG_4787.jpeg,1
IMG_4788.jpeg,1
IMG_4789.jpeg,1
IMG_4790.jpeg,1
IMG_4792.jpeg,2
IMG_4793.jpeg,2
IMG_4794.jpeg,2
IMG_4795.jpeg,2
IMG_4796.jpeg,2
IMG_4797.jpeg,3
IMG_4798.jpeg,3
IMG_4799.jpeg,3
IMG_4800.jpeg,3
IMG_4801.jpeg,3
IMG_4802.jpeg,4
IMG_4803.jpeg,4
IMG_4804.jpeg,4
IMG_4805.jpeg,4
IMG_4806.jpeg,4
IMG_4807.jpeg,5
IMG_4808.jpeg,5
IMG_4809.jpeg,5
IMG_4810.jpeg,5
IMG_4811.jpeg,5
IMG_4812.jpeg,6
IMG_4813.jpeg,6
IMG_4814.jpeg,6
IMG_4815.jpeg,6
IMG_4816.jpeg,6
IMG_4817.jpeg,7
IMG_4818.jpeg,7
IMG_4819.jpeg,7
IMG_4820.jpeg,7
IMG_4821.jpeg,7
IMG_4822.jpeg,8
IMG_4823.jpeg,8
IMG_4824.jpeg,8
IMG_4825.jpeg,8
IMG_4826.jpeg,8
IMG_4827.jpeg,9
IMG_4828.jpeg,9
IMG_4829.jpeg,9
IMG_4830.jpeg,9
IMG_4831.jpeg,9
IMG_4832.jpeg,0
IMG_4833.jpeg,1
IMG_4834.jpeg,2
IMG_4835.jpeg,3
IMG_4836.jpeg,4
IMG_4837.jpeg,5
IMG_4838.jpeg,6
IMG_4839.jpeg,7
IMG_4840.jpeg,8
IMG_4841.jpeg,9
IMG_4842.jpeg,0
IMG_4843.jpeg,1
IMG_4844.jpeg,2
IMG_4845.jpeg,3
IMG_4846.jpeg,4
IMG_4847.jpeg,5
IMG_4848.jpeg,6
IMG_4849.jpeg,7
IMG_4850.jpeg,8
IMG_4851.jpeg,9
