image,label
BRWSE4945.jpeg,9
DIBYE6504.jpeg,1
DRSSE5278.jpeg,2
EPHWE9879.jpeg,4
FCBHE0030.jpeg,0
FXLQE1242.jpeg,1
GCYFE1758.jpeg,3
HFMSE4367.jpeg,9
HNMCE0799.jpeg,9
HORXE6317.jpeg,4
HYUEE8937.jpeg,2
KEYXE8580.jpeg,3
KFHLE7440.jpeg,4
LCZOE9782.jpeg,5
LJXQE1836.jpeg,6
LVEWE3011.jpeg,1
NZKME0385.jpeg,0
OMBWE0321.jpeg,2
OVVTE3897.jpeg,0
PCEGE3841.jpeg,5
PGCAE6308.jpeg,7
RDQKE7330.jpeg,8
RZJSE5394.jpeg,6
SHLTE7209.jpeg,5
SOWKE5659.jpeg,1
SYMFE4796.jpeg,3
TTDNE5337.jpeg,7
UVHXE5233.jpeg,9
VEXAE1354.jpeg,2
VZTEE1683.jpeg,8
WEAYE6679.jpeg,0
WQTGE7478.jpeg,7
WTDEE9234.jpeg,6
XQYCE2794.jpeg,5
XVABE8668.jpeg,4
YCVRE2792.jpeg,3
